,隊伍,日期,總分,第一節分數,第二節分數,第三節分數,第四節分數
1613,籃網,2021/6/6,115,30,33,35,17
1614,老鷹,2021/6/7,128,42,32,25,29
1615,76人,2021/6/7,124,27,27,29,41
1616,獨行俠,2021/6/7,111,38,24,23,26
1617,快船,2021/6/7,126,35,35,30,26
1618,雄鹿,2021/6/8,86,19,22,24,21
1619,籃網,2021/6/8,125,36,29,30,30
1620,掘金,2021/6/8,105,28,30,21,26
1621,太陽,2021/6/8,122,28,29,31,34
1622,老鷹,2021/6/9,102,20,35,29,18
1623,76人,2021/6/9,118,33,24,34,27
1624,快船,2021/6/9,109,25,35,19,30
1625,爵士,2021/6/9,112,18,29,32,33
1626,掘金,2021/6/10,98,21,21,25,31
1627,太陽,2021/6/10,123,25,27,34,37
1628,籃網,2021/6/11,83,11,31,23,18
1629,雄鹿,2021/6/11,86,30,15,22,19
1630,快船,2021/6/11,111,29,24,33,25
1631,爵士,2021/6/11,117,30,36,27,24
1632,76人,2021/6/12,127,28,33,34,32
1633,老鷹,2021/6/12,111,20,36,19,36
1634,太陽,2021/6/12,116,37,22,31,26
1635,掘金,2021/6/12,102,27,28,21,26
1636,爵士,2021/6/13,106,23,26,34,23
1637,快船,2021/6/13,132,27,37,30,38
1638,籃網,2021/6/14,96,26,22,21,27
1639,雄鹿,2021/6/14,107,23,30,28,26
1640,太陽,2021/6/14,125,28,35,33,29
1641,掘金,2021/6/14,118,22,33,28,35
1642,76人,2021/6/15,100,28,34,20,18
1643,老鷹,2021/6/15,103,20,29,31,23
1644,爵士,2021/6/15,104,13,31,29,31
1645,快船,2021/6/15,118,30,38,26,24
1646,雄鹿,2021/6/16,108,29,30,28,21
1647,籃網,2021/6/16,114,15,28,38,33
1648,老鷹,2021/6/17,109,24,16,29,40
1649,76人,2021/6/17,106,38,24,25,19
1650,快船,2021/6/17,119,36,24,32,27
1651,爵士,2021/6/17,111,37,28,18,28
1652,籃網,2021/6/18,89,19,29,19,22
1653,雄鹿,2021/6/18,104,26,33,19,26
1654,76人,2021/6/19,104,22,25,33,24
1655,老鷹,2021/6/19,99,29,22,25,23
1656,爵士,2021/6/19,119,33,39,22,25
1657,快船,2021/6/19,131,31,19,41,40
1658,雄鹿,2021/6/20,115,25,22,35,27
1659,籃網,2021/6/20,111,28,25,28,28
1660,太陽,2021/6/25,92,21,27,21,23
1661,快船,2021/6/25,106,29,17,34,26
1662,老鷹,2021/6/26,91,28,17,18,28
1663,雄鹿,2021/6/26,125,34,43,26,22
1664,太陽,2021/6/27,84,29,21,19,15
1665,快船,2021/6/27,80,20,16,30,14
1666,雄鹿,2021/6/28,113,27,29,27,30
1667,老鷹,2021/6/28,102,32,24,29,17
1668,快船,2021/6/29,116,36,23,32,25
1669,太陽,2021/6/29,102,26,26,26,24
1670,雄鹿,2021/6/30,88,22,16,24,26
1671,老鷹,2021/6/30,110,25,26,36,23
1672,太陽,2021/7/1,130,33,33,31,33
1673,快船,2021/7/1,103,29,28,26,20
1674,老鷹,2021/7/2,112,22,34,22,34
1675,雄鹿,2021/7/2,123,36,29,26,32
1676,雄鹿,2021/7/9,108,29,16,33,30
1677,太陽,2021/7/9,118,26,30,32,30
1678,太陽,2021/7/12,100,28,17,31,24
1679,雄鹿,2021/7/12,120,25,35,38,22
1680,太陽,2021/7/15,103,23,29,30,21
1681,雄鹿,2021/7/15,109,20,32,24,33
1682,雄鹿,2021/7/18,123,21,43,36,23
1683,太陽,2021/7/18,119,37,24,29,29
1684,太陽,2021/7/21,98,16,31,30,21
1685,雄鹿,2021/7/21,105,29,13,35,28
