cid,gender,R,F,M,k-means
2009S4830081,M,410,1,1298,3
2009S4832089,M,303,2,1592,0
2009S4832201,F,292,1,229,0
2009S4832553,M,125,1,600,2
2009S4832785,M,572,1,2460,1
2009S4833005,M,595,1,3360,1
2009S4833141,F,321,1,999,0
2009S4833189,F,447,1,580,3
2009S4833297,M,313,4,3670,0
2009S4833461,M,128,1,1960,2
2009S4836381,F,470,1,493,3
2009S4836485,F,16,3,9138,2
2009S4840217,F,173,2,4662,0
2009S4840317,F,450,3,3999,3
2009S4840393,F,372,1,1290,3
2009S4840581,M,140,1,1380,2
2009S4840717,M,491,1,699,3
2009S4840881,F,404,2,2898,3
2009S4841365,M,423,1,649,3
2009S4841413,F,25,4,1306,2
2009S4844085,M,271,1,968,0
2009S4844117,M,85,3,6712,2
2009S4844129,F,67,1,1850,2
2009S4844157,F,95,1,1763,2
2009S4844617,M,271,3,12420,0
2009S4844665,M,507,1,580,1
2009S4845017,F,384,2,5430,3
2009S4845625,M,348,2,3920,3
2009S4848549,F,117,2,2140,2
2009S4848853,F,395,1,1680,3
2009S4849105,F,191,2,3860,0
2009S4849121,F,107,2,2498,2
2009S4852369,M,34,13,35908,2
2009S4853049,F,474,1,2168,3
2009S4853065,F,17,10,12208,2
2009S4853113,F,21,10,23289,2
2009S4853485,F,280,1,1904,0
2009S4856389,F,404,1,2279,3
2009S4856549,M,195,5,5736,0
2009S4857209,F,410,1,1170,3
2009S4857297,F,35,2,1012,2
2009S4857429,F,274,1,593,0
2009S4857897,M,10,2,1779,2
2009S4860421,M,199,1,588,0
2009S4860529,F,51,4,1814,2
2009S4860645,M,543,1,690,1
2009S4861109,M,531,1,493,1
2009S4861145,F,649,1,998,1
2009S4861497,F,188,3,2469,0
2009S4861885,M,565,1,1280,1
2009S4864289,M,206,3,2769,0
2009S4864337,F,517,1,1080,1
2009S4864357,M,245,3,4893,0
2009S4864865,F,612,1,1380,1
2009S4864889,M,285,3,2997,0
2009S4864913,M,537,2,919,1
2009S4864997,F,215,2,478,0
2009S4865053,F,304,1,780,0
2009S4865085,F,502,1,1425,3
2009S4865173,M,533,1,493,1
2009S4868149,F,149,2,4038,2
2009S4868197,M,74,1,980,2
2009S4868217,M,175,6,6710,0
2009S4868245,M,3,2,2491,2
2009S4868289,F,422,3,8779,3
2009S4868293,F,441,5,14623,3
2009S4868313,F,610,1,966,1
2009S4868753,F,3,4,3505,2
2009S4868769,M,571,1,2560,1
2009S4868773,F,358,9,34213,3
2009S4868801,F,198,3,4410,0
2009S4868865,F,584,1,3200,1
2009S4869001,M,254,2,1647,0
2009S4869005,F,10,5,15132,2
2009S4869037,F,216,3,3026,0
2009S4869053,M,127,1,1680,2
2009S4869085,M,458,4,6938,3
2009S4869109,M,29,9,4842,2
2009S4869333,M,42,2,4140,2
2009S4869489,M,290,5,5619,0
2009S4869525,F,223,3,3995,0
2009S4869705,F,215,1,3969,0
2009S4869777,M,61,1,1598,2
2009S4872133,F,142,1,70,2
2009S4872377,M,506,1,1180,1
2009S4872589,F,355,3,3202,3
2009S4872637,M,643,1,2914,1
2009S4872849,F,132,8,11690,2
2009S4872941,F,289,2,1057,0
2009S4872957,M,437,4,6832,3
2009S4872981,F,18,46,131351,2
2009S4873409,F,346,2,756,3
2009S4873829,F,43,1,580,2
2009S4874149,F,200,3,4998,0
2009S4874261,F,441,1,493,3
2009S4874377,M,174,3,6039,0
2009S4876417,M,25,9,16308,2
2009S4876457,F,34,3,2877,2
2009S4876809,M,334,2,2529,3
2009S4877013,M,26,8,10905,2
2009S4877649,F,109,6,6745,2
2009S4880373,M,12,2,6138,2
2009S4880589,F,286,1,219,0
2009S4880709,F,194,3,4744,0
2009S4884281,F,484,1,493,3
2009S4884301,M,223,5,7178,0
2009S4884417,F,201,1,690,0
2009S4884913,M,216,1,3120,0
2009S4885109,M,445,1,1398,3
2009S4885321,F,41,1,229,2
2009S4886157,F,659,1,1099,1
2009S4886253,M,208,1,1290,0
2009S4886665,F,568,3,9660,1
2009S4886705,F,329,1,435,0
2009S4888145,M,2,12,70777,2
2009S4888461,F,169,2,2759,0
2009S4888545,F,19,1,1290,2
2009S4888629,F,605,1,493,1
2009S4888949,F,607,1,880,1
2009S4889225,F,364,1,270,3
2009S4889485,F,325,2,1678,0
2009S4889689,M,608,1,499,1
2009S4889865,M,210,1,1186,0
2009S4889977,M,304,1,1380,0
2009S4892209,F,169,6,8612,0
2009S4892789,F,616,1,2834,1
2009S4892825,F,568,1,680,1
2009S4893073,F,177,3,5689,0
2009S4896197,M,82,1,998,2
2009S4896325,M,75,2,2997,2
2009S4896437,F,223,1,2318,0
2009S4896593,F,324,1,999,0
2009S4896837,F,3,3,7060,2
2009S4896985,F,584,1,1380,1
2009S4897369,M,288,1,593,0
2009S4897417,M,219,1,689,0
2009S4900369,F,247,4,14220,0
2009S4900561,F,82,1,1398,2
2009S4900605,F,552,1,1335,1
2009S4900709,M,294,1,150,0
2009S4900713,M,614,1,493,1
2009S4900717,M,119,1,680,2
2009S4901117,F,540,2,2793,1
2009S4901337,F,191,9,57888,0
2009S4901509,M,108,4,3818,2
2009S4901529,F,70,11,15233,2
2009S4905273,M,598,2,3378,1
2009S4905577,M,272,2,4158,0
2009S4905841,F,293,1,339,0
2009S4905869,F,256,2,3777,0
